Filename,Label,Contrast0,Contrast45,Contrast90,Contrast135,Homogeneity0,Homogeneity45,Homogeneity90,Homogeneity135,Dissimilarity0,Dissimilarity45,Dissimilarity90,Dissimilarity135,Entropy0,Entropy45,Entropy90,Entropy135,ASM0,ASM45,ASM90,ASM135,Energy0,Energy45,Energy90,Energy135,Correlation0,Correlation45,Correlation90,Correlation135
chicken-18.jpeg_flip,ayam,21903.10546875,24297.0,22102.32421875,22758.0,0.6631638810821826,0.6263494602159136,0.6601002027073786,0.650016916310399,85.89453125,95.28235294117647,86.67578125,89.24705882352941,1.3320021853584865,1.3539093767954158,1.334060872165752,1.3404802074374347,0.2766625792354128,0.26603211925262826,0.2756691934658169,0.2725726644928953,0.5259872424645039,0.5157830156690197,0.5250420873280702,0.5220849207675848,0.32626105376385595,0.2525837086600226,0.32013720411280505,0.29992617201919536
chicken-18.jpeg_rot,ayam,19997.578125,22027.0,19448.73046875,21989.0,0.6924679647371821,0.6612585734936794,0.7009083986597668,0.6618429551256421,78.421875,86.38039215686275,76.26953125,86.2313725490196,1.2996930060353922,1.3222828116712875,1.2927572328722672,1.321901040005296,0.2943239458869485,0.28327850941901056,0.29767564643763067,0.2834673208379175,0.5425163093280685,0.5322391468306428,0.5455965967980654,0.532416491891374,0.3758363396016942,0.31250245365224527,0.3929281893803501,0.3136884938193682
chicken-18.jpeg_bright,ayam,22071.4453125,22962.0,22321.46484375,24487.0,0.6605750728554731,0.6468797096545997,0.6567301564950943,0.6234275520561006,86.5546875,90.04705882352941,87.53515625,96.02745098039216,1.3333804301727499,1.3419819726700912,1.3358990669379445,1.3549668345560923,0.2760623852980224,0.27191179543667665,0.2748463945047803,0.26557227186598004,0.5254163923004519,0.521451623294699,0.5242579465346999,0.5153370468596062,0.32075972851678924,0.29326834600533686,0.3130599751124683,0.2463320211147
chicken-6.png,ayam,746.07421875,1161.0,767.9882812500001,1092.0,0.9885265244863592,0.9821456032971427,0.9881895198651309,0.9832067173130749,2.92578125,4.552941176470589,3.0117187500000004,4.2823529411764705,0.10849927554972244,0.11077495008612917,0.10937311904087187,0.10928317027196369,0.964971708761917,0.9625360219748091,0.9646425459999987,0.963545317042317,0.9823297352528412,0.9810892018439552,0.9821621790722745,0.9816034418451868,0.5155993241930398,0.10404530106101477,0.5013712669597244,0.15793000152980088
chicken-6.png_flip,ayam,746.07421875,1093.0,767.9882812500001,1160.0,0.9885265244863592,0.9831913388490757,0.9881895198651309,0.9821609817611417,2.92578125,4.286274509803921,3.0117187500000004,4.549019607843137,0.10849927554972244,0.10925831321578622,0.10937311904087187,0.11080651744323952,0.964971708761917,0.9635455241019446,0.9646425459999987,0.962535782750579,0.9823297352528412,0.9816035473152818,0.9821621790722745,0.981089079926272,0.5155993241930398,0.15652154527105008,0.5013712669597244,0.10549340821846984
chicken-6.png_rot,ayam,1299.90234375,1871.0,1286.953125,1849.0,0.9800094986044043,0.9712268938578414,0.9802086376987666,0.9715652200658198,5.09765625,7.337254901960785,5.046875,7.250980392156863,0.16162668317575357,0.17309681377389058,0.16121926143865148,0.17262203453231395,0.943715163615519,0.9370864170332855,0.9438916377001936,0.9374053929218067,0.9714500314558228,0.9680322396662652,0.9715408574528369,0.9681969804341505,0.45519719688858645,0.17714514415939922,0.46084101753094403,0.18682061547339887
chicken-6.png_bright,ayam,728.14453125,1141.0,779.94140625,1076.0000000000002,0.9888022555400916,0.9824531725771231,0.9880056991626426,0.9834527727370591,2.85546875,4.474509803921569,3.05859375,4.219607843137256,0.10684520371649034,0.10911847731771959,0.10890342665702778,0.10771660923240509,0.9656000935027618,0.9631944342230186,0.964821999215108,0.9641448936107001,0.9826495272999228,0.9814246961550431,0.98225353102705,0.9819088010659137,0.5199668738707873,0.10320115324858832,0.48581951058936595,0.15494067220183108
chicken-7.png,ayam,4932.65625,5734.0,4496.3671875,5722.0,0.9241433234398548,0.9118198874296436,0.9308527790806754,0.9120044289976318,19.34375,22.48627450980392,17.6328125,22.43921568627451,0.43574898110583377,0.4479382556539535,0.42254206069229727,0.44774277339744584,0.8120927427439265,0.8031087369614001,0.8195724479091576,0.8032607686305255,0.9011618848708186,0.8961633427904759,0.9053024068835549,0.89624816241403,0.35606639104041554,0.24298502852445772,0.40420613751024914,0.24456929424781074
chicken-7.png_flip,ayam,4932.65625,5722.0,4496.3671875,5734.0,0.9241433234398548,0.9120044289976318,0.9308527790806754,0.9118198874296436,19.34375,22.43921568627451,17.6328125,22.48627450980392,0.43574898110583377,0.44774277339744584,0.42254206069229727,0.4479382556539535,0.8120927427439265,0.8032607686305255,0.8195724479091576,0.8031087369614001,0.9011618848708186,0.89624816241403,0.9053024068835549,0.8961633427904759,0.35606639104041554,0.24456929424781074,0.40420613751024914,0.24298502852445772
chicken-7.png_rot,ayam,4777.265625,5809.000000000001,4547.167968750001,5669.0,0.9265329925722019,0.9106665026297174,0.9300715410951005,0.9128194875895795,18.734375,22.78039215686275,17.832031250000004,22.23137254901961,0.43724499520312105,0.4560432034440097,0.4298757462358642,0.45367261453632957,0.811718664114313,0.7990551247183936,0.8158052823874458,0.8008280990912169,0.9009543074508901,0.8938988336038892,0.903219398810414,0.8948899927316301,0.3888389550450991,0.25299497532183957,0.41312286758920574,0.270998195059306
